Program name,Instruction count
400.perlbench_0,1096503046051
400.perlbench_1,383318812631
400.perlbench_2,687595139369
401.bzip2_0,433889455507
401.bzip2_1,195224452843
401.bzip2_2,324760045185
401.bzip2_3,587536209191
401.bzip2_4,698861060645
401.bzip2_5,350238946205
403.gcc_0,88916685589
403.gcc_1,166341695563
403.gcc_2,161000174391
403.gcc_3,115107910065
403.gcc_4,125397082356
403.gcc_5,177369038464
403.gcc_6,199610979709
403.gcc_7,189499866209
403.gcc_8,63260791853
429.mcf_0,337043051972
445.gobmk_0,232394626432
445.gobmk_1,613843678271
445.gobmk_2,326908287321
445.gobmk_3,231771881564
445.gobmk_4,331537937741
456.hmmer_0,1027329607247
456.hmmer_1,2172215548718
458.sjeng_0,2301937080553
462.libquantum_0,3259206587146
464.h264ref_0,528132530476
464.h264ref_1,345600978766
464.h264ref_2,3044081127065
471.omnetpp_0,672370712837
473.astar_0,403873380899
473.astar_1,813066493861
483.xalancbmk_0,1113157881346
999.specrand_0,643695781
410.bwaves_0,2411267822759
416.gamess_0,1044683671014
416.gamess_1,748801267623
416.gamess_2,3332858932744
433.milc_0,1387525955756
434.zeusmp_0,2153235807798
435.gromacs_0,2289755313330
436.cactusADM_0,2991584396721
437.leslie3d_0,1706152408218
444.namd_0,2650967977445
447.dealII_0,2377509008891
450.soplex_0,445195862024
450.soplex_1,386635664983
453.povray_0,1090348614050
454.calculix_0,7013671395009
459.GemsFDTD_0,1796132682955
465.tonto_0,2671139571096
470.lbm_0,1484269114337
481.wrf_0,3415408111523
482.sphinx3_0,2597152607195
999.specrand_0,643695787
